Temp_min_mean,Temp_min_std,Temp_min_min,Temp_min_25%,Temp_min_50%,Temp_min_75%,Temp_min_max,Temp_max_mean,Temp_max_std,Temp_max_min,Temp_max_25%,Temp_max_50%,Temp_max_75%,Temp_max_max,PLV_mean,PLV_std,PLV_min,PLV_25%,PLV_50%,PLV_75%,PLV_max,EVA_mean,EVA_std,EVA_min,EVA_25%,EVA_50%,EVA_75%,EVA_max,APP
24.5,2.225140445005663,24.5,24.5,24.5,24.5,24.5,29.4,1.5864943383807852,29.4,29.4,29.4,29.4,29.4,0.0,8.667962357357778,0.0,0.0,0.0,0.0,0.0,3.3,1.1551128578133456,3.3,3.3,3.3,3.3,3.3,0.0
19.862499999999997,2.225140445005663,17.1,18.775000000000002,19.75,20.7,24.0,26.3625,1.5864943383807852,24.2,25.25,26.4,27.45,28.5,5.425,8.667962357357778,0.3,0.6499999999999999,0.9,5.65,24.5,2.95,1.1551128578133456,1.7,2.475,2.6500000000000004,2.9749999999999996,5.6,0.0
17.176470588235293,3.647521317923431,10.4,15.2,17.3,19.0,22.7,23.91764705882353,2.9793529696306646,18.0,21.4,25.1,26.1,27.0,13.664705882352942,31.262556300958316,0.1,0.6,2.4,10.1,130.4,2.8117647058823527,1.1962871482952873,1.4,2.1,2.5,4.0,5.6,0.2
12.711764705882352,2.117747138158017,9.5,11.2,12.2,14.7,16.3,18.676470588235293,1.5813480846119499,16.0,17.6,18.1,19.7,22.1,6.211764705882352,6.739332529351588,0.2,1.1,2.7,10.5,22.4,1.9,0.9171968163922071,0.8,1.3,1.7,2.1,4.7,5.58
8.169999999999998,3.00580140815443,0.4,7.3999999999999995,8.649999999999999,10.299999999999999,11.4,14.745000000000001,2.569758333917188,8.8,13.35,15.5,16.775,17.7,5.0,6.773943887387442,0.0,0.475,2.5,6.049999999999999,25.2,2.535,1.5445234318646472,0.9,1.3749999999999998,2.0,3.25,6.2,1.5500000000000003
7.566666666666666,2.7310781531819774,3.5,6.225,7.05,9.35,12.3,12.775,1.6847578730812005,10.0,12.0,12.65,13.724999999999998,16.2,6.175000000000001,5.993196900729117,0.2,1.05,5.050000000000001,9.5,18.6,2.35,1.5945931370500983,0.9,1.0750000000000002,1.8,3.4749999999999996,5.9,5.864999999999999
9.382352941176473,2.366229937611106,5.0,7.4,10.2,10.8,13.1,15.305882352941175,1.2847522077405116,12.4,14.8,15.1,15.7,17.6,3.5058823529411764,5.46002181637529,0.0,0.2,0.7,3.6,19.1,2.1294117647058823,0.7597406678287936,1.2,1.6,1.9,2.6,4.0,8.217
7.8933333333333335,2.106610909448995,4.4,6.6,7.5,9.5,12.2,13.286666666666667,2.006726782836264,9.1,12.6,13.0,14.4,16.8,5.713333333333333,7.462751949962337,0.0,0.7,2.5,7.95,22.7,2.186666666666667,0.7395622901097519,1.3,1.7,2.1,2.6,3.7,2.1299999999999994
10.566666666666666,2.58740539279539,6.2,10.05,10.399999999999999,12.4,13.4,17.633333333333333,2.985743905070672,13.1,16.900000000000002,17.4,18.5,22.3,2.6166666666666667,2.4243899576319534,0.0,0.575,2.7,3.775,6.3,3.0833333333333335,0.9474527252938095,1.8,2.45,3.25,3.5250000000000004,4.4,0.856
12.818181818181818,3.0950987647628248,7.6,9.9,13.8,15.3,16.4,20.081818181818182,2.086057612731816,16.3,18.6,20.6,21.25,23.0,2.963636363636364,5.817778395104565,0.0,0.15000000000000002,0.6,2.35,19.6,2.1999999999999997,0.7028513356322231,1.3,1.75,2.0,2.85,3.3,0.22699999999999998
17.1,2.077879468271323,17.1,17.1,17.1,17.1,17.1,25.3,1.2551608407218713,25.3,25.3,25.3,25.3,25.3,0.2,4.28774742086605,0.2,0.2,0.2,0.2,0.2,2.4,0.5989130412314032,2.4,2.4,2.4,2.4,2.4,0.031
22.15,1.0606601717798212,21.4,21.775,22.15,22.525,22.9,27.9,0.424264068711927,27.6,27.750000000000004,27.9,28.049999999999997,28.2,1.95,2.7577164466275352,0.0,0.975,1.95,2.925,3.9,2.25,0.4949747468305834,1.9,2.0749999999999997,2.25,2.4250000000000003,2.6,0.021
23.566666666666666,1.1846237095944578,22.2,23.2,24.2,24.25,24.3,28.133333333333336,0.8326663997864536,27.2,27.799999999999997,28.4,28.6,28.8,9.666666666666666,12.15332601937977,2.6,2.6500000000000004,2.7,13.2,23.7,2.766666666666667,1.8147543451754933,1.1,1.8,2.5,3.6,4.7,0.0
17.12,1.9829271292712698,14.9,15.5,17.0,18.7,19.5,24.42,1.833575741549827,23.0,23.2,23.3,25.4,27.2,2.94,4.010361579708245,0.1,0.4,1.9,2.4,9.9,3.2800000000000002,1.0183319694480772,1.8,2.8,3.4,4.1,4.3,0.041
11.45,3.3972273762811116,6.0,9.350000000000001,11.3,13.8,17.2,19.39285714285714,3.2871461285330277,15.2,16.75,19.0,20.95,26.6,6.6499999999999995,13.823989739134369,0.1,0.3,1.3,4.15,51.0,3.092857142857143,1.0087801359252484,1.4,2.6,2.95,3.375,5.0,0.18900000000000003
11.92,3.0925717453278265,5.6,10.5,11.9,14.45,15.5,17.479999999999997,2.022539657625202,12.6,16.7,18.15,18.75,19.6,2.77,4.73123192789738,0.1,0.2,0.4,2.3499999999999996,14.2,2.37,1.7094833527511561,0.4,0.9000000000000001,2.1500000000000004,3.4250000000000003,5.4,0.094
