Temp_max,Temp_min,Vent,PLV,EVA,APP
10,19.0,37,0.0,1.92,0.0004
12,20.0,29,0.0,2.04,0.0
8,22.0,13,0.0,2.24,0.0
6,23.0,27,0.0,2.6,0.0
-1,21.0,29,0.0,2.3,0.0061
9,16.0,31,0.7000000178813939,2.49,0.0026
0,14.0,21,10.400000035762787,2.4,0.1468
9,17.0,15,11.299999892711641,2.4,0.0
8,16.0,22,0.0,2.04,0.0027
8,16.0,11,3.9000000953674303,2.2,0.0
9,19.0,15,11.09999990463256,2.35,0.0001
12,16.0,13,52.09999995231628,1.92,0.0
13,18.0,11,55.59999973773956,1.44,0.0022
10,17.0,34,36.69999994337558,1.38,0.0014
11,16.0,27,18.199999979138376,1.68,0.0092
13,23.0,26,0.0,2.04,0.0021
14,19.0,29,3.5,2.3,0.0027
16,23.0,24,0.30000001192092896,2.76,0.0031
16,20.0,24,3.2,4.35,0.0088
24,34.0,21,0.0,7.7,0.0
22,32.0,22,0.8999999761581421,9.91,0.001
21,30.0,26,111.6000015884638,7.57,0.0
22,30.0,26,214.69999957084661,3.55,0.0
15,21.0,22,118.79999914169305,2.1,0.0018
7,19.0,15,0.0,1.8,0.0
11,19.0,31,0.0,1.92,0.0018
10,22.0,27,0.0,2.1,0.0
13,18.0,31,0.0,1.92,0.0
11,19.0,21,0.0,1.74,0.0006
8,19.0,26,0.0,1.86,0.002
11,18.0,13,22.400000095367467,1.92,0.0037
11,17.0,34,24.69999998807907,1.68,0.0006
10,17.0,28,16.899999970197683,1.56,0.0099
8,21.0,21,0.0,1.68,0.0
11,15.0,15,0.0,1.74,0.0001
12,15.0,21,0.700000002980232,1.98,0.0069
11,19.0,26,62.500000482797624,1.98,0.0022
12,20.0,21,55.29999976158142,1.74,0.0022
11,18.0,48,80.99999952316291,2.04,0.002
9,17.0,41,111.29999942779544,1.44,0.0343
11,20.0,22,0.0,1.8,0.0016
11,15.0,44,0.0,3.06,0.0
9,18.0,15,0.0,1.56,0.0003
12,25.0,26,0.0,2.4,0.0
13,20.0,26,0.5,2.1,0.0027
16,22.0,31,1.2,2.8,0.0
14,20.0,21,9.3,2.7,0.0316
22,33.0,24,16.0,6.85,0.0006
23,35.0,22,388.50000190734863,10.03,0.0
21,31.0,24,818.100004196167,7.45,0.0
23,30.0,24,291.5999994277954,4.09,0.0
13,21.0,27,216.30000042915339,1.98,0.0017
-2,19.0,24,239.49999910593033,1.98,0.0017
11,18.0,24,13.699999976158141,0.84,0.1569
9,19.0,24,51.400000002980235,1.14,0.5007
10,21.0,11,0.0,1.8,0.1592
8,21.0,16,0.0,1.49,0.0021
11,19.0,21,3.1,1.98,0.0393
12,19.0,22,4.5,1.14,0.0263
9,22.0,26,3.2000000476837176,0.98,0.0493
5,13.0,55,39.50000023841858,0.84,0.0132
6,15.0,39,35.59999966621399,1.84,0.001
6,13.0,37,80.29999971389773,1.44,0.0022
6,14.0,37,117.90000009536746,1.78,0.0017
6,19.0,29,50.399999666213986,1.86,0.0021
10,19.0,21,12.70000004768372,1.98,0.0022
7,17.0,16,4.500000059604649,2.28,0.0024
9,18.0,16,9.100000053644187,2.2,0.0027
12,20.0,24,3.8000000715255777,2.4,0.0026
11,19.0,34,17.800000071525577,2.4,0.0029
10,17.0,41,42.20000016689301,2.1,0.0029
10,23.0,21,18.100000023841858,2.0,0.0025
8,17.0,21,4.7,1.92,0.0034
9,16.0,22,24.199999809265137,1.44,0.0018
13,25.0,15,63.99999988079071,2.1,0.0
10,17.0,35,56.49999995231629,2.04,0.0025
16,24.0,31,1.400000011920929,2.15,0.0003
14,22.0,24,10.1,2.82,0.054000000000000006
21,35.0,22,5.59999990463257,7.66,0.0
24,33.0,29,0.0,10.4,0.0
22,32.0,29,0.0,7.81,0.0
21,30.0,24,0.0,3.97,0.0
14,21.0,27,0.0,2.13,0.0018
13,18.0,44,0.5,1.56,0.0
15,21.0,46,4.800000004470348,3.19,0.0039
13,21.0,27,0.0,4.51,0.0038
15,22.0,27,40.200000047683716,3.24,0.0054
13,19.0,16,158.99999823570252,3.6,0.0039
11,23.0,15,113.10000057220465,2.49,0.0043
11,24.0,24,0.0,3.12,0.003
16,21.0,31,2.199999988079071,3.49,0.0037
15,22.0,21,8.600000035762791,3.24,0.0041
13,22.0,24,0.3,2.68,0.0039
11,25.0,16,0.0,2.94,0.0032
13,26.0,21,0.0,3.6,0.0035
14,23.0,16,0.0,3.18,0.0043
15,24.0,24,0.0,2.76,0.0038
12,24.0,27,0.0,2.42,0.0033
16,23.0,16,0.0,2.82,0.0029
15,24.0,29,10.0,2.94,0.0034
16,22.0,29,38.700000762939425,3.06,0.0035
15,25.0,24,92.99999971389771,2.76,0.0036
9,18.0,37,0.0,1.98,0.0022
6,15.0,15,6.100000143051161,1.74,0.0016
8,27.0,27,17.500000029802326,2.1,0.0024
10,18.0,27,8.799999994039535,2.63,0.0024
15,23.0,31,0.0,2.98,0.0026
15,27.0,24,0.0,3.25,0.0181
21,29.0,44,10.699999988079071,7.96,0.0
23,32.0,29,21.79999995231629,8.29,0.0
20,28.0,31,0.0,7.51,0.0
22,33.0,26,0.0,4.21,0.0
15,20.0,22,1.6,1.86,0.0716
11,18.0,22,0.0,1.62,0.0
14,33.0,27,0.0,3.3,0.0
16,34.0,34,0.0,3.45,0.0027
16,25.0,34,2.0,3.86,0.0
16,23.0,22,5.3000001907348615,3.55,0.0
15,23.0,42,15.899999916553499,3.2,0.0
17,24.0,34,8.300000086426733,4.03,0.0
14,26.0,21,4.0,3.79,0.0
12,28.0,28,0.0,2.99,0.0
18,27.0,29,0.0,3.06,0.0011
17,31.0,21,0.0,3.79,0.0012
16,30.0,27,0.0,4.09,0.002
15,33.0,21,0.0,7.5,0.0
19,34.0,34,0.0,7.5,0.0
19,28.0,28,0.0,5.3,0.0029
19,27.0,46,8.60000020265579,4.33,0.0
18,29.0,42,22.10000010728836,3.24,0.0
16,25.0,39,0.0,4.09,0.0
16,27.0,28,11.0,4.21,0.0076
14,31.0,24,0.0,4.33,0.0017
10,18.0,15,0.5,1.62,0.0
6,19.0,22,44.299999237060575,1.68,0.0004
11,20.0,27,120.49999994039531,2.64,0.0024
9,20.0,15,54.60000014305115,2.76,0.0031
16,24.0,35,10.99999971687794,2.94,0.0035
17,34.0,39,0.30000001192092896,3.91,0.0018
21,30.0,29,0.200000002980232,7.51,0.0259
23,32.0,16,0.0,8.23,0.0
18,29.0,21,0.0,6.35,0.0
21,29.0,21,0.0,4.7,0.0
14,21.0,24,3.4,1.72,0.0015
11,19.0,26,0.0,1.44,0.0
20,33.0,29,0.0,6.76,0.0
24,35.0,24,0.6,6.96,0.0
22,33.0,28,0.0,6.79,0.0
22,31.0,24,0.0,6.45,0.0
19,35.0,24,0.0,7.39,0.0
20,36.0,35,0.0,8.23,0.0
23,35.0,28,0.0,8.53,0.0
21,31.0,27,15.0,7.5,0.0
21,34.0,26,0.0,7.36,0.0
22,31.0,21,0.0,7.69,0.0
22,32.0,24,0.0,6.29,0.0
23,47.0,31,0.0,7.81,0.0
24,45.0,22,0.0,9.19,0.0
22,34.0,39,0.0,8.71,0.0
22,29.0,31,0.0,7.87,0.0
21,31.0,26,0.0,8.05,0.0
21,30.0,24,0.0,7.81,0.0
20,33.0,27,0.0,7.6,0.0001
9,19.0,11,0.0,1.74,0.0018
9,20.0,13,2.0,1.2,0.0019
14,21.0,16,0.0,2.8,0.0014
8,22.0,21,0.6,2.56,0.0033
15,22.0,28,0.0,3.2,0.0035
20,28.0,28,0.0,4.4,0.0061
21,32.0,27,0.0,7.81,0.0026
20,35.0,24,0.0,7.81,0.0
19,29.0,28,0.0,6.67,0.0
20,26.0,29,11.3,3.18,0.0025
14,20.0,35,2.5,1.86,0.0016
14,19.0,31,0.0,1.56,0.0013
19,30.0,22,0.0,8.47,0.0
22,32.0,28,0.0,7.92,0.0046
20,34.0,31,0.0,8.71,0.0
22,33.0,31,0.0,8.56,0.0004
22,35.0,24,0.0,8.95,0.0
21,37.0,22,0.0,9.06,0.0
21,38.0,21,1.79999995231628,9.25,0.0149
22,41.0,22,0.0,9.19,0.0
23,39.0,27,0.0,9.43,0.0
26,36.0,27,0.0,9.49,0.0
23,43.0,21,0.0,10.09,0.0015
27,45.0,34,0.0,10.4,0.0
24,34.0,28,0.0,9.51,0.0
23,34.0,26,0.0,8.83,0.0
23,33.0,28,0.0,9.31,0.0
23,36.0,28,0.0,9.6,0.0
25,34.0,37,0.0,9.4,0.001
24,34.0,41,0.0,9.73,0.0008
24,33.0,41,0.0,9.7,0.0
7,18.0,27,0.0,1.92,0.0
10,19.0,22,0.0,2.1,0.0
11,15.0,35,0.0,2.01,0.0111
9,23.0,15,0.0,2.96,0.003
16,23.0,37,0.9,3.3,0.0038
19,29.0,31,0.0,4.89,0.0139
21,34.0,22,0.0,7.69,0.0001
25,34.0,31,0.0,8.35,0.0
19,29.0,21,0.0,6.19,0.0
20,26.0,22,1.8,2.94,0.0023
13,18.0,22,2.0,1.92,0.0017
14,17.0,34,9.0,1.5,0.0
22,35.0,26,26.0,7.27,0.0
23,33.0,22,0.0,7.61,0.0
23,31.0,27,0.0,6.97,0.0
20,34.0,21,0.0,6.37,0.0
23,33.0,24,0.0,7.69,0.0
22,33.0,22,0.0,7.63,0.0
23,33.0,21,11.0,7.21,0.0
23,30.0,28,20.99999990463256,7.9,0.0
21,37.0,35,0.0,7.15,0.0
23,44.0,41,0.100000001490116,8.11,0.0
